t1_ms,t2_ms,t3_ms
1784188481211,1784188481308,1784188481309
1784188501255,1784188501265,1784188501265
1784194212279,1784194212293,1784194212293
1784194232295,1784194232305,1784194232305
1784194249460,1784194249470,1784194249470
1784194443987,1784194443997,1784194443997
1784194463950,1784194463961,1784194463962
1784194625769,1784194625778,1784194625778
1784196355182,1784196355267,1784196355267
1784196375218,1784196375229,1784196375229
1784196395179,1784196395190,1784196395190
1784205145533,1784205145623,1784205145623
1784205165531,1784205165541,1784205165541
